Exact Jaccard Similarities (>= 0.5):
197 - 600 : 0.5
197 - 826 : 0.512987012987013
328 - 788 : 0.6729559748427673
408 - 898 : 0.8387096774193549
451 - 489 : 0.5333333333333333
489 - 587 : 0.6299212598425197
554 - 764 : 0.5170068027210885
600 - 826 : 0.5454545454545454
674 - 879 : 0.5217391304347826
800 - 879 : 0.5
MinHash Similarities with 50 hash functions (>= 0.5):
1 - 303 : 0.5
1 - 387 : 0.5
1 - 416 : 0.5
1 - 417 : 0.5
1 - 916 : 0.5
6 - 10 : 0.54
6 - 18 : 0.66
6 - 85 : 0.54
6 - 90 : 0.5
6 - 151 : 0.54
6 - 271 : 0.5
6 - 308 : 0.52
6 - 312 : 0.52
6 - 406 : 0.5
6 - 514 : 0.5
6 - 747 : 0.54
7 - 234 : 0.6
7 - 313 : 0.56
7 - 450 : 0.54
7 - 561 : 0.5
7 - 650 : 0.62
7 - 796 : 0.52
7 - 846 : 0.54
13 - 276 : 0.54
13 - 561 : 0.5
13 - 655 : 0.5
18 - 151 : 0.6
18 - 312 : 0.52
18 - 514 : 0.5
18 - 747 : 0.58
44 - 804 : 0.52
59 - 95 : 0.5
59 - 234 : 0.5
59 - 450 : 0.5
59 - 537 : 0.58
59 - 561 : 0.64
59 - 606 : 0.5
59 - 660 : 0.5
59 - 747 : 0.52
60 - 326 : 0.5
85 - 194 : 0.5
85 - 398 : 0.5
92 - 201 : 0.5
92 - 268 : 0.6
92 - 276 : 0.66
92 - 301 : 0.5
92 - 303 : 0.68
92 - 374 : 0.54
92 - 378 : 0.52
92 - 387 : 0.52
92 - 399 : 0.5
92 - 416 : 0.5
92 - 417 : 0.58
92 - 727 : 0.54
92 - 749 : 0.5
92 - 758 : 0.5
92 - 804 : 0.56
92 - 916 : 0.52
94 - 194 : 0.5
94 - 201 : 0.56
94 - 276 : 0.6
94 - 387 : 0.52
94 - 429 : 0.52
94 - 435 : 0.5
94 - 450 : 0.5
94 - 653 : 0.5
94 - 805 : 0.54
94 - 833 : 0.52
94 - 846 : 0.5
94 - 896 : 0.52
94 - 916 : 0.52
95 - 311 : 0.52
95 - 747 : 0.54
102 - 495 : 0.5
111 - 171 : 0.52
111 - 673 : 0.56
112 - 616 : 0.58
130 - 880 : 0.6
144 - 916 : 0.56
145 - 374 : 0.5
151 - 312 : 0.52
151 - 406 : 0.52
151 - 716 : 0.5
151 - 747 : 0.5
171 - 784 : 0.58
173 - 446 : 0.56
194 - 293 : 0.54
194 - 311 : 0.58
194 - 313 : 0.56
194 - 330 : 0.52
194 - 389 : 0.5
197 - 600 : 0.5
201 - 269 : 0.54
201 - 276 : 0.52
201 - 303 : 0.52
201 - 387 : 0.56
201 - 429 : 0.5
201 - 846 : 0.5
222 - 374 : 0.5
222 - 378 : 0.56
229 - 410 : 0.5
229 - 611 : 0.52
234 - 450 : 0.5
234 - 537 : 0.52
234 - 561 : 0.54
234 - 747 : 0.52
239 - 840 : 0.52
246 - 268 : 0.5
254 - 495 : 0.5
267 - 886 : 0.52
268 - 276 : 0.58
268 - 303 : 0.58
268 - 407 : 0.52
268 - 417 : 0.54
268 - 497 : 0.54
268 - 727 : 0.56
268 - 804 : 0.58
268 - 880 : 0.54
269 - 429 : 0.5
271 - 311 : 0.52
276 - 303 : 0.6
276 - 378 : 0.52
276 - 399 : 0.52
276 - 416 : 0.52
276 - 417 : 0.56
276 - 727 : 0.52
276 - 758 : 0.5
276 - 896 : 0.52
279 - 303 : 0.5
284 - 574 : 0.5
293 - 303 : 0.52
293 - 378 : 0.5
293 - 416 : 0.5
293 - 796 : 0.5
293 - 804 : 0.5
301 - 682 : 0.5
301 - 804 : 0.5
301 - 886 : 0.5
303 - 387 : 0.52
303 - 399 : 0.52
303 - 417 : 0.54
303 - 804 : 0.5
303 - 916 : 0.5
308 - 311 : 0.52
308 - 312 : 0.5
308 - 429 : 0.54
308 - 537 : 0.52
308 - 846 : 0.54
311 - 537 : 0.52
312 - 426 : 0.5
312 - 561 : 0.5
312 - 747 : 0.54
313 - 326 : 0.54
313 - 389 : 0.54
313 - 450 : 0.5
313 - 716 : 0.5
327 - 514 : 0.58
327 - 883 : 0.52
328 - 788 : 0.66
334 - 385 : 0.5
347 - 374 : 0.52
356 - 841 : 0.5
363 - 387 : 0.5
366 - 814 : 0.5
368 - 604 : 0.5
374 - 378 : 0.5
374 - 889 : 0.5
378 - 416 : 0.5
378 - 429 : 0.5
378 - 450 : 0.52
378 - 864 : 0.58
384 - 898 : 0.5
387 - 399 : 0.5
387 - 429 : 0.52
387 - 592 : 0.5
387 - 606 : 0.54
387 - 864 : 0.5
394 - 757 : 0.52
399 - 864 : 0.52
406 - 747 : 0.54
408 - 898 : 0.9
417 - 660 : 0.56
417 - 805 : 0.52
417 - 916 : 0.5
429 - 450 : 0.54
429 - 537 : 0.5
429 - 561 : 0.5
429 - 655 : 0.54
429 - 868 : 0.5
435 - 880 : 0.54
435 - 896 : 0.54
442 - 709 : 0.5
450 - 747 : 0.52
474 - 524 : 0.52
474 - 537 : 0.5
489 - 587 : 0.5
497 - 727 : 0.52
497 - 804 : 0.5
551 - 682 : 0.54
554 - 764 : 0.54
561 - 932 : 0.5
574 - 673 : 0.6
574 - 752 : 0.52
574 - 775 : 0.54
600 - 826 : 0.62
604 - 814 : 0.5
643 - 868 : 0.52
648 - 749 : 0.5
653 - 749 : 0.5
653 - 804 : 0.52
660 - 727 : 0.5
660 - 804 : 0.5
674 - 879 : 0.62
724 - 787 : 0.52
727 - 804 : 0.58
727 - 896 : 0.52
749 - 804 : 0.54
758 - 896 : 0.54
772 - 784 : 0.52
800 - 879 : 0.54
804 - 868 : 0.52
805 - 864 : 0.5
False Positives: 42.8
False Negatives: 0.4
MinHash Similarities with 100 hash functions (>= 0.5):
7 - 59 : 0.5
7 - 406 : 0.53
13 - 405 : 0.54
16 - 194 : 0.5
18 - 151 : 0.52
18 - 840 : 0.52
26 - 825 : 0.5
26 - 938 : 0.5
33 - 511 : 0.53
44 - 198 : 0.5
56 - 301 : 0.51
59 - 201 : 0.5
59 - 308 : 0.51
59 - 406 : 0.51
59 - 524 : 0.5
59 - 537 : 0.52
59 - 716 : 0.52
59 - 846 : 0.5
85 - 474 : 0.5
90 - 474 : 0.5
92 - 222 : 0.5
92 - 276 : 0.56
92 - 374 : 0.5
92 - 378 : 0.5
92 - 551 : 0.53
92 - 804 : 0.53
94 - 222 : 0.51
94 - 268 : 0.5
94 - 417 : 0.53
94 - 435 : 0.5
94 - 497 : 0.5
105 - 820 : 0.5
109 - 222 : 0.58
109 - 276 : 0.5
109 - 301 : 0.5
109 - 682 : 0.52
127 - 702 : 0.51
130 - 276 : 0.5
130 - 416 : 0.5
130 - 551 : 0.52
141 - 938 : 0.5
143 - 356 : 0.59
